term,definition,source_anchor,notes
<em>Estimate</em>,"The estimated value of a parameter, as computed using an estimator.",https://csrc.nist.gov/glossary/term/estimate,source: NIST SP 800-90B
<em>Estimator</em>,A technique for estimating the value of a parameter.,https://csrc.nist.gov/glossary/term/estimator,source: NIST SP 800-90B
<em>F</em>,Standard Normal Cumulative Distribution Function (see Section 5.5.3).,https://csrc.nist.gov/glossary/term/f,source: NIST SP 800-22 Rev. 1a
<em>fn</em>,"The sum of the log2 distances between matching L-bit templates, i.e., the sum of the number of digits in the distance between L-bit templates. See Sections 2.9 and 3.9.",https://csrc.nist.gov/glossary/term/f_n,source: NIST SP 800-22 Rev. 1a
"<em>GCD(a, b)</em>","Greatest Common Divisor of two positive integers a and b. For example, GCD(12, 16) = 4.",https://csrc.nist.gov/glossary/term/gcda_b,source: NIST SP 800-56B Rev. 2; NIST SP 800-56B Rev. 1
"<em>GCTRK (ICB, X)</em>",The output of the GCTR function for a given block cipher with key K applied to the bit string X with an initial counter block ICB.,https://csrc.nist.gov/glossary/term/gctrk,source: NIST SP 800-38D
<em>GHASHH (X)</em>,The output of the GHASH function under the hash subkey H applied to the bit string X.,https://csrc.nist.gov/glossary/term/ghash_x,source: NIST SP 800-38D
<em>gir</em>,"DH key exchange value, also called a DH shared secret (in IKE version 2).",https://csrc.nist.gov/glossary/term/g_ir,source: NIST SP 800-135 Rev. 1
<em>Global performance metric</em>,"For a predictor, the number of accurate predictions over a long period.",https://csrc.nist.gov/glossary/term/global_performance_metric,source: NIST SP 800-90B
<em>gxy</em>,"Diffie-Hellman (DH) key exchange value, also called a DH shared secret (in IKE version 1).",https://csrc.nist.gov/glossary/term/gxy,source: NIST SP 800-135 Rev. 1
<em>H(M)</em>,A hash value that is generated on M.,https://csrc.nist.gov/glossary/term/hm,source: NIST SP 800-102
<em>H(x)</em>,A cryptographic hash function with x as an input.,https://csrc.nist.gov/glossary/term/hx,source: NIST SP 800-133
<em>H(x)</em>,A cryptographic hash function with x as an input,https://csrc.nist.gov/glossary/term/hx,source: NIST SP 800-133 Rev.1; NIST SP 800-133 Rev. 2
<em>h</em>,"An ECC domain parameter; the cofactor, a positive integer that is equal to the order of the elliptic curve group, divided by the order of the cyclic subgroup generated by the distinguished point G. That is, nh is the order of the elliptic curve, where n is the order of the cyclic subgroup generated by the distinguished point G.",https://csrc.nist.gov/glossary/term/lower_case_h,source: NIST SP 800-56A Rev. 2
<em>h</em>,The length of the PRF output in bits.,https://csrc.nist.gov/glossary/term/lower_case_h,source: NIST SP 800-108r1
<em>h</em>,An integer whose value is the length of the output of the PRF in bits.,https://csrc.nist.gov/glossary/term/lower_case_h,source: NIST SP 800-108; NIST SP 800-56C
<em>H</em>,The hash subkey.,https://csrc.nist.gov/glossary/term/upper_case_h,source: NIST SP 800-38D
<em>H</em>,"An auxiliary function used in certain key derivation methods. H is either an approved hash function, hash, or an HMAC-hash based on an approved hash function, hash, with a salt value used as the HMAC key.",https://csrc.nist.gov/glossary/term/upper_case_h,source: NIST SP 800-56A Rev. 2; NIST SP 800-56B Rev. 1
<em>H</em>,"In LMS and XMSS, the height of the tree. In XMSSMT, the total height of the multi-tree (the trees at each level have a height of H/D).",https://csrc.nist.gov/glossary/term/upper_case_h,source: NIST SP 800-208
<em>H0</em>,"The null hypothesis; i.e., the statement that the sequence is random.",https://csrc.nist.gov/glossary/term/h_0,source: NIST SP 800-22 Rev. 1a
<em>HMAC-hash</em>,"The HMAC algorithm using the hash function, HASH (e.g., HASHcould be SHA-1). See FIPS 198-1 for the specification of the HMAC algorithm using one of the approved hash functions.",https://csrc.nist.gov/glossary/term/hmac_hash,abbr/syn: Keyed-Hash Message Authentication Code; source: NIST SP 800-135 Rev. 1
<em>HMAC-hash</em>,Keyed-hash Message Authentication Code (as specified in [FIPS 198]) with an approved hash function hash.,https://csrc.nist.gov/glossary/term/hmac_hash,abbr/syn: Keyed-Hash Message Authentication Code; source: NIST SP 800-56A Rev. 2; NIST SP 800-56B Rev. 1
<em>i</em>,"A counter taking integer values in the interval [1, 2<i><sup>r</sup></i>-1] that is encoded as a bit string of length <i>r</i>; used as an input to each invocation of a PRF in the counter mode and (optionally) in the feedback and double-pipeline iteration modes.",https://csrc.nist.gov/glossary/term/i,source: NIST SP 800-108r1
<em>i</em>,"The counter for each iteration, which is represented as a binary string of length r when it is an input to each iteration of the PRF.",https://csrc.nist.gov/glossary/term/i,source: NIST SP 800-108
<em>ICV1</em>,The 64-bit default ICV for KW:0xA6A6A6A6A6A6A6A6.,https://csrc.nist.gov/glossary/term/icv1,source: NIST SP 800-38F
