"control_id","control_name","is_enhancement","parent_control_id","baseline","baseline_levels","control_text","fedramp_assignments"
"AC-18","Wireless Access","false","","High","L,M,H","a. Establish configuration requirements, connection requirements, and implementation guidance for each type of wireless access; and

    b. Authorize each type of wireless access to the system prior to allowing such connections.",""
"AC-18(1)","Authentication and Encryption","true","AC-18","High","M,H","Protect wireless access to the system using authentication of [Selection (one-or-more): users; devices] and encryption.",""
"AC-18(3)","Disable Wireless Networking","true","AC-18","High","M,H","Disable, when not intended for use, wireless networking capabilities embedded within system components prior to issuance and deployment.",""
"AC-18(4)","Restrict Configurations by Users","true","AC-18","High","H","Identify and explicitly authorize users allowed to independently configure wireless networking capabilities.",""
"AC-18(5)","Antennas and Transmission Power Levels","true","AC-18","High","H","Select radio antennas and calibrate transmission power levels to reduce the probability that signals from wireless access points can be received outside of organization-controlled boundaries.",""
"AC-19","Access Control for Mobile Devices","false","","High","L,M,H","a. Establish configuration requirements, connection requirements, and implementation guidance for organization-controlled mobile devices, to include when such devices are outside of controlled areas; and

    b. Authorize the connection of mobile devices to organizational systems.",""
"AC-19(5)","Full Device or Container-based Encryption","true","AC-19","High","M,H","Employ [Selection: Assignment: full-device encryption; container-based encryption] to protect the confidentiality and integrity of information on [Assignment: organization-defined mobile devices].",""
"AC-20","Use of External Systems","false","","High","L,M,H","a. [Selection (one-or-more): Establish [Assignment: organization-defined terms and conditions]; Identify [Assignment: organization-defined controls asserted to be implemented on external systems]], consistent with the trust relationships established with other organizations owning, operating, and/or maintaining external systems, allowing authorized individuals to:

        1. Access the system from external systems; and

        2. Process, store, or transmit organization-controlled information using external systems; or

    b. Prohibit the use of [Assignment: organizationally-defined types of external systems].

__ AC-20 Additional FedRAMP Requirements and Guidance:__

__ Guidance:__ The interrelated controls of AC-20, CA-3, and SA-9 should be differentiated as follows:

__ __AC-20 describes system access to and from external systems.

__ __CA-3 describes documentation of an agreement between the respective system owners when data is exchanged between the CSO and an external system.

__ __SA-9 describes the responsibilities of external system owners. These responsibilities would typically be captured in the agreement required by CA-3.",""
"AC-20(1)","Limits on Authorized Use","true","AC-20","High","M,H","Permit authorized individuals to use an external system to access the system or to process, store, or transmit organization-controlled information only after:

        (a)   Verification of the implementation of controls on the external system as specified in the organization’s security and privacy policies and security and privacy plans; or

        (b)   Retention of approved system connection or processing agreements with the organizational entity hosting the external system.",""
"AC-20(2)","Portable Storage Devices — Restricted Use","true","AC-20","High","M,H","Restrict the use of organization-controlled portable storage devices by authorized individuals on external systems using [Assignment: organization-defined restrictions].",""
