"identifier","family","base_control","enhancement","is_enhancement","sort_as","name","withdrawn","in_privacy_baseline","in_low_baseline","in_moderate_baseline","in_high_baseline"
"CP-7","CP","CP-7","","False","CP-07-00","Alternate Processing Site","False","False","False","True","True"
"CP-7(1)","CP","CP-7","1","True","CP-07-01","Alternate Processing Site | Separation from Primary Site","False","False","False","True","True"
"CP-7(2)","CP","CP-7","2","True","CP-07-02","Alternate Processing Site | Accessibility","False","False","False","True","True"
"CP-7(3)","CP","CP-7","3","True","CP-07-03","Alternate Processing Site | Priority of Service","False","False","False","True","True"
"CP-7(4)","CP","CP-7","4","True","CP-07-04","Alternate Processing Site | Preparation for Use","False","False","False","False","True"
"CP-7(5)","CP","CP-7","5","True","CP-07-05","Alternate Processing Site | Equivalent Information Security Safeguards","False","False","False","False","False"
"CP-7(6)","CP","CP-7","6","True","CP-07-06","Alternate Processing Site | Inability to Return to Primary Site","False","False","False","False","False"
"CP-8","CP","CP-8","","False","CP-08-00","Telecommunications Services","False","False","False","True","True"
"CP-8(1)","CP","CP-8","1","True","CP-08-01","Telecommunications Services | Priority of Service Provisions","False","False","False","True","True"
"CP-8(2)","CP","CP-8","2","True","CP-08-02","Telecommunications Services | Single Points of Failure","False","False","False","True","True"
"CP-8(3)","CP","CP-8","3","True","CP-08-03","Telecommunications Services | Separation of Primary and Alternate Providers","False","False","False","False","True"
"CP-8(4)","CP","CP-8","4","True","CP-08-04","Telecommunications Services | Provider Contingency Plan","False","False","False","False","True"
"CP-8(5)","CP","CP-8","5","True","CP-08-05","Telecommunications Services | Alternate Telecommunication Service Testing","False","False","False","False","False"
"CP-9","CP","CP-9","","False","CP-09-00","System Backup","False","False","True","True","True"
"CP-9(1)","CP","CP-9","1","True","CP-09-01","System Backup | Testing for Reliability and Integrity","False","False","False","True","True"
"CP-9(2)","CP","CP-9","2","True","CP-09-02","System Backup | Test Restoration Using Sampling","False","False","False","False","True"
"CP-9(3)","CP","CP-9","3","True","CP-09-03","System Backup | Separate Storage for Critical Information","False","False","False","False","True"
"CP-9(4)","CP","CP-9","4","True","CP-09-04","System Backup | Protection from Unauthorized Modification","False","False","False","False","False"
"CP-9(5)","CP","CP-9","5","True","CP-09-05","System Backup | Transfer to Alternate Storage Site","False","False","False","False","True"
"CP-9(6)","CP","CP-9","6","True","CP-09-06","System Backup | Redundant Secondary System","False","False","False","False","False"
"CP-9(7)","CP","CP-9","7","True","CP-09-07","System Backup | Dual Authorization","False","False","False","False","False"
"CP-9(8)","CP","CP-9","8","True","CP-09-08","System Backup | Cryptographic Protection","False","False","False","True","True"
"CP-10","CP","CP-10","","False","CP-10-00","System Recovery and Reconstitution","False","False","True","True","True"
"CP-10(1)","CP","CP-10","1","True","CP-10-01","System Recovery and Reconstitution | Contingency Plan Testing","False","False","False","False","False"
