"control_id","family","family_name","title","ot_discussion","content"
"PL-4","PL","Planning","Rules Of Behavior","","| CNTL | CONTROL NAME | | CONTROL BASELINES | | |----------|----------------------------------------------------------------------------------------|--------|-------------------|--------| | NO. | Control Enhancement Name | LOW | MOD | HIGH | | PL-4 | Rules of Behavior | Select | Select | Select | | PL-4 (1) | RULES OF BEHAVIOR SOCIAL MEDIA AND EXTERNAL SITE /<br>APPLICATION USAGE RESTRICTIONS | Select | Select | Select | No OT Discussion for this control."
"PL-7","PL","Planning","Concept Of Operations","Organizations need to consider documenting known operational procedures and exploring how they relate to the combination of IT and OT technologies within the environment.","| CNTL | CONTROL NAME | SUPPLEMENTED<br>CONTROL BASELINES | | | |------|--------------------------|-----------------------------------|-----|------| | NO. | Control Enhancement Name | LOW | MOD | HIGH | | PL-7 | Concept of Operations | | | | OT Discussion: Organizations need to consider documenting known operational procedures and exploring how they relate to the combination of IT and OT technologies within the environment."
"PL-8","PL","Planning","Security And Privacy Architectures","Defense in depth is considered a common practice for security architecture within OT environments.","| CNTL | CONTROL NAME | | SUPPLEMENTED<br>CONTROL BASELINES | | |----------|-------------------------------------------------------|-----|-----------------------------------|--------| | NO. | Control Enhancement Name | LOW | MOD | HIGH | | PL-8 | Security and Privacy Architectures | | Select | Select | | PL-4 (1) | SECURITY AND PRIVACY ARCHITECTURES DEFENSE IN DEPTH | | | | No OT Discussion for this control. Control Enhancement: (1) OT Discussion: Defense in depth is considered a common practice for security architecture within OT environments."
"PL-9","PL","Planning","Central Management","If the architecture allows for it, consider centrally managing flaw remediation, malicious code protection, logging, and incident detection.","| CNTL | CONTROL NAME | CONTROL BASELINES | | | |------|--------------------------|-------------------|-----|------| | NO. | Control Enhancement Name | LOW | MOD | HIGH | | PL-9 | Central Management | | | | OT Discussion: If the architecture allows for it, consider centrally managing flaw remediation, malicious code protection, logging, and incident detection."
"PL-10","PL","Planning","Baseline Selection","","| CNTL | CONTROL NAME | CONTROL BASELINES | | | |-------|--------------------------|-------------------|--------|--------| | NO. | Control Enhancement Name | LOW | MOD | HIGH | | PL-10 | Baseline Selection | Select | Select | Select | No OT Discussion for this control."
"PL-11","PL","Planning","Baseline Tailoring","","<span id=""page-284-0""></span> | CNTL | CONTROL NAME | | CONTROL BASELINES | | |-------|--------------------------|--------|-------------------|--------| | NO. | Control Enhancement Name | LOW | MOD | HIGH | | PL-11 | Baseline Tailoring | Select | Select | Select | ## **F.7.13. ORGANIZATION-WIDE INFORMATION SECURITY PROGRAM MANAGEMENT CONTROLS – PM** ## **Characteristics of the Organization-Wide Information Security Program Management Control Family** Organization-wide information security program management controls are deployed to support the information security program. They are not associated with control baselines and are independent of any system impact level. Program management controls should specifically address the unique properties and requirements of OT, the relationship to non-OT systems, and the relationship to other programs concerned with the operational characteristics of OT (e.g., safety, efficiency, reliability, resilience). To achieve this, the security program should utilize interdisciplinary teams that can help reconcile and balance conflicting equities, objectives, and responsibilities, such as capability, adaptability, resilience, safety, security, usability, and efficiency."
"PM-1","PM","Program Management","Information Security Program Plan","","| CNTL | CONTROL NAME | |------|-----------------------------------| | NO. | Control Enhancement Name | | PM-1 | Information Security Program Plan | No OT Discussion for this control."
"PM-2","PM","Program Management","Information Security Program Leadership Role","","| CNTL | CONTROL NAME | |------|----------------------------------------------| | NO. | Control Enhancement Name | | PM-2 | Information Security Program Leadership Role | No OT Discussion for this control."
"PM-3","PM","Program Management","Information Security And Privacy Resources","","| CNTL | CONTROL NAME | |------|--------------------------------------------| | NO. | Control Enhancement Name | | PM-3 | Information Security and Privacy Resources |"
"PM-4","PM","Program Management","Plan Of Action And Milestones Process","","| CNTL | CONTROL NAME | |------|---------------------------------------| | NO. | Control Enhancement Name | | PM-4 | Plan of Action and Milestones Process | No OT Discussion for this control."
