status,old_question_id,new_question_id,old_control_id,new_control_id,change,text_similarity,match_how,id_reuse
unchanged,IAM-03.1,IAM-03.1,IAM-03,IAM-03,unchanged,1.0,exact-text,no
unchanged,IAM-04.1,IAM-04.1,IAM-04,IAM-04,unchanged,1.0,exact-text,no
unchanged,IAM-05.1,IAM-05.1,IAM-05,IAM-05,unchanged,1.0,exact-text,no
unchanged,IAM-06.1,IAM-06.1,IAM-06,IAM-06,unchanged,1.0,exact-text,no
unchanged,IAM-07.1,IAM-07.1,IAM-07,IAM-07,unchanged,1.0,exact-text,no
changed,IAM-08.1,IAM-08.1,IAM-08,IAM-08,edited,0.953,text(0.95),no
unchanged,IAM-09.1,IAM-09.1,IAM-09,IAM-09,unchanged,1.0,exact-text,no
unchanged,IAM-10.1,IAM-10.1,IAM-10,IAM-10,unchanged,1.0,exact-text,no
unchanged,IAM-10.2,IAM-10.2,IAM-10,IAM-10,unchanged,1.0,exact-text,no
changed,IAM-11.1,IAM-11.1,IAM-11,IAM-11,reworded,0.817,text(0.82),no
changed,IAM-13.1,IAM-12.1,IAM-13,IAM-12,renumbered,1.0,exact-text,yes
changed,IAM-14.1,IAM-13.1,IAM-14,IAM-13,renumbered,1.0,exact-text,yes
changed,IAM-14.2,IAM-13.2,IAM-14,IAM-13,renumbered,1.0,exact-text,no
changed,IAM-15.1,IAM-14.1,IAM-15,IAM-14,renumbered+reworded,0.56,text(0.56),yes
changed,IAM-16.1,IAM-15.1,IAM-16,IAM-15,renumbered,1.0,exact-text,yes
changed,IAM-17.1,IAM-16.1,IAM-17,IAM-16,renumbered,1.0,exact-text,yes
changed,IAM-18.1,IAM-17.1,IAM-18,IAM-17,renumbered+edited,0.997,text(1.00),yes
changed,IAM-19.1,IAM-18.1,IAM-19,IAM-18,renumbered,1.0,exact-text,yes
unchanged,IPY-01.1,IPY-01.1,IPY-01,IPY-01,unchanged,1.0,exact-text,no
unchanged,IPY-01.2,IPY-01.2,IPY-01,IPY-01,unchanged,1.0,exact-text,no
changed,IPY-02.1,IPY-02.1,IPY-02,IPY-02,reworded,0.948,text(0.95),no
changed,IPY-03.1,IPY-03.1,IPY-03,IPY-03,reworded,0.942,text(0.94),no
changed,IPY-04.1,IPY-04.1,IPY-04,IPY-04,reworded,0.921,text(0.92),no
unchanged,LOG-01.1,LOG-01.1,LOG-01,LOG-01,unchanged,1.0,exact-text,no
unchanged,LOG-01.2,LOG-01.2,LOG-01,LOG-01,unchanged,1.0,exact-text,no
unchanged,LOG-02.1,LOG-02.1,LOG-02,LOG-02,unchanged,1.0,exact-text,no
changed,LOG-03.1,LOG-03.1,LOG-03,LOG-03,reworded,0.693,text(0.69),no
changed,LOG-03.2,LOG-03.2,LOG-03,LOG-03,reworded,0.772,text(0.77),no
changed,LOG-04.1,LOG-04.1,LOG-04,LOG-04,reworded,0.689,text(0.69),no
changed,LOG-05.1,LOG-05.1,LOG-05,LOG-05,reworded,0.563,text(0.56),no
unchanged,LOG-05.2,LOG-05.2,LOG-05,LOG-05,unchanged,1.0,exact-text,no
unchanged,LOG-06.1,LOG-06.1,LOG-06,LOG-06,unchanged,1.0,exact-text,no
unchanged,LOG-07.1,LOG-07.1,LOG-07,LOG-07,unchanged,1.0,exact-text,no
changed,LOG-07.2,LOG-07.2,LOG-07,LOG-07,reworded,0.829,text(0.83),no
new,,LOG-08.1,,LOG-08,added,,,yes
changed,LOG-08.1,LOG-09.1,LOG-08,LOG-09,renumbered,1.0,exact-text,yes
changed,LOG-09.1,LOG-10.1,LOG-09,LOG-10,renumbered+edited,0.97,text(0.97),yes
changed,LOG-10.1,LOG-11.1,LOG-10,LOG-11,renumbered,1.0,exact-text,yes
changed,LOG-11.1,LOG-12.1,LOG-11,LOG-12,renumbered,1.0,exact-text,yes
changed,LOG-12.1,LOG-13.1,LOG-12,LOG-13,renumbered,1.0,exact-text,yes
changed,LOG-13.1,LOG-14.1,LOG-13,LOG-14,renumbered,1.0,exact-text,yes
changed,LOG-13.2,LOG-14.2,LOG-13,LOG-14,renumbered,1.0,exact-text,no
changed,LOG-14.1,LOG-15.1,LOG-14,LOG-15,renumbered,1.0,exact-text,yes
changed,LOG-15.1,LOG-16.1,LOG-15,LOG-16,renumbered,1.0,exact-text,no
unchanged,MDS-01.1,MDS-01.1,MDS-01,MDS-01,unchanged,1.0,exact-text,no
changed,MDS-01.2,MDS-01.2,MDS-01,MDS-01,edited,0.988,text(0.99),no
unchanged,MDS-02.1,MDS-02.1,MDS-02,MDS-02,unchanged,1.0,exact-text,no
unchanged,MDS-02.2,MDS-02.2,MDS-02,MDS-02,unchanged,1.0,exact-text,no
unchanged,MDS-03.1,MDS-03.1,MDS-03,MDS-03,unchanged,1.0,exact-text,no
unchanged,MDS-03.2,MDS-03.2,MDS-03,MDS-03,unchanged,1.0,exact-text,no
unchanged,MDS-04.1,MDS-04.1,MDS-04,MDS-04,unchanged,1.0,exact-text,no
unchanged,MDS-05.1,MDS-05.1,MDS-05,MDS-05,unchanged,1.0,exact-text,no
unchanged,MDS-06.1,MDS-06.1,MDS-06,MDS-06,unchanged,1.0,exact-text,no
unchanged,MDS-07.1,MDS-07.1,MDS-07,MDS-07,unchanged,1.0,exact-text,no
unchanged,MDS-08.1,MDS-08.1,MDS-08,MDS-08,unchanged,1.0,exact-text,no
unchanged,MDS-08.2,MDS-08.2,MDS-08,MDS-08,unchanged,1.0,exact-text,no
unchanged,MDS-09.1,MDS-09.1,MDS-09,MDS-09,unchanged,1.0,exact-text,no
unchanged,MDS-10.1,MDS-10.1,MDS-10,MDS-10,unchanged,1.0,exact-text,no
changed,MDS-11.1,MDS-11.1,MDS-11,MDS-11,edited,0.975,text(0.98),no
unchanged,MDS-11.2,MDS-11.2,MDS-11,MDS-11,unchanged,1.0,exact-text,no
unchanged,MDS-12.1,MDS-12.1,MDS-12,MDS-12,unchanged,1.0,exact-text,no
unchanged,MDS-12.2,MDS-12.2,MDS-12,MDS-12,unchanged,1.0,exact-text,no
unchanged,MDS-13.1,MDS-13.1,MDS-13,MDS-13,unchanged,1.0,exact-text,no
unchanged,SEF-01.1,SEF-01.1,SEF-01,SEF-01,unchanged,1.0,exact-text,no
changed,SEF-01.2,SEF-01.2,SEF-01,SEF-01,edited,0.997,text(1.00),no
unchanged,SEF-02.1,SEF-02.1,SEF-02,SEF-02,unchanged,1.0,exact-text,no
unchanged,SEF-02.2,SEF-02.2,SEF-02,SEF-02,unchanged,1.0,exact-text,no
changed,SEF-03.1,SEF-03.1,SEF-03,SEF-03,reworded,0.611,text(0.61),no
changed,SEF-04.1,SEF-04.1,SEF-04,SEF-04,reworded,0.698,text(0.70),no
unchanged,SEF-05.1,SEF-05.1,SEF-05,SEF-05,unchanged,1.0,exact-text,no
unchanged,SEF-06.1,SEF-06.1,SEF-06,SEF-06,unchanged,1.0,exact-text,no
new,,SEF-07.1,,SEF-07,added,,,yes
new,,SEF-07.2,,SEF-07,added,,,yes
changed,SEF-07.1,SEF-08.1,SEF-07,SEF-08,renumbered,1.0,exact-text,yes
changed,SEF-07.2,SEF-08.2,SEF-07,SEF-08,renumbered+reworded,0.833,text(0.83),yes
new,,SEF-09.1,,SEF-09,added,,,yes
new,,SEF-09.2,,SEF-09,added,,,no
changed,SEF-08.1,SEF-10.1,SEF-08,SEF-10,renumbered,1.0,exact-text,no
changed,SEF-08.2,SEF-10.2,SEF-08,SEF-10,renumbered+edited,0.992,text(0.99),no
unchanged,STA-01.1,STA-01.1,STA-01,STA-01,unchanged,1.0,exact-text,no
unchanged,STA-01.2,STA-01.2,STA-01,STA-01,unchanged,1.0,exact-text,no
unchanged,STA-02.1,STA-02.1,STA-02,STA-02,unchanged,1.0,exact-text,no
unchanged,STA-02.2,STA-02.2,STA-02,STA-02,unchanged,1.0,exact-text,no
unchanged,STA-03.1,STA-03.1,STA-03,STA-03,unchanged,1.0,exact-text,no
changed,STA-04.1,STA-04.1,STA-04,STA-04,reworded,0.874,text(0.87),no
unchanged,STA-05.1,STA-05.1,STA-05,STA-05,unchanged,1.0,exact-text,no
changed,STA-06.1,STA-06.1,STA-06,STA-06,reworded,0.949,text(0.95),no
unchanged,STA-07.1,STA-07.1,STA-07,STA-07,unchanged,1.0,exact-text,no
unchanged,STA-08.1,STA-08.1,STA-08,STA-08,unchanged,1.0,exact-text,no
changed,STA-16.1,STA-09.1,STA-16,STA-09,renumbered+reworded,0.592,text(0.59),yes
new,,STA-09.2,,STA-09,added,,,no
changed,STA-09.1,STA-10.1,STA-09,STA-10,renumbered,1.0,exact-text,yes
changed,STA-10.1,STA-11.1,STA-10,STA-11,renumbered+edited,0.965,text(0.97),yes
changed,STA-11.1,STA-12.1,STA-11,STA-12,renumbered,1.0,exact-text,yes
changed,STA-12.1,STA-13.1,STA-12,STA-13,renumbered,1.0,exact-text,yes
changed,STA-13.1,STA-14.1,STA-13,STA-14,renumbered,1.0,exact-text,yes
changed,STA-14.1,STA-15.1,STA-14,STA-15,renumbered+reworded,0.451,ordinal,yes
changed,STA-15.1,STA-16.1,STA-15,STA-16,renumbered+reworded,0.824,text(0.82),yes
unchanged,TVM-01.1,TVM-01.1,TVM-01,TVM-01,unchanged,1.0,exact-text,no
unchanged,TVM-01.2,TVM-01.2,TVM-01,TVM-01,unchanged,1.0,exact-text,no
unchanged,TVM-02.1,TVM-02.1,TVM-02,TVM-02,unchanged,1.0,exact-text,no
unchanged,TVM-02.2,TVM-02.2,TVM-02,TVM-02,unchanged,1.0,exact-text,no
changed,TVM-03.1,TVM-03.1,TVM-03,TVM-03,reworded,0.527,ordinal,no
changed,TVM-12.1,TVM-04.1,TVM-12,TVM-04,renumbered,1.0,exact-text,yes
changed,TVM-12.2,TVM-04.2,TVM-12,TVM-04,renumbered,1.0,exact-text,no
changed,TVM-04.1,TVM-05.1,TVM-04,TVM-05,renumbered,1.0,exact-text,yes
changed,TVM-05.1,TVM-06.1,TVM-05,TVM-06,renumbered,1.0,exact-text,yes
changed,TVM-06.1,TVM-07.1,TVM-06,TVM-07,renumbered,1.0,exact-text,yes
changed,TVM-07.1,TVM-08.1,TVM-07,TVM-08,renumbered,1.0,exact-text,yes
changed,TVM-08.1,TVM-09.1,TVM-08,TVM-09,renumbered+edited,0.98,text(0.98),yes
changed,TVM-13.1,TVM-10.1,TVM-13,TVM-10,renumbered,1.0,exact-text,yes
changed,TVM-09.1,TVM-11.1,TVM-09,TVM-11,renumbered,1.0,exact-text,yes
changed,TVM-10.1,TVM-12.1,TVM-10,TVM-12,renumbered,1.0,exact-text,yes
changed,TVM-11.1,TVM-13.1,TVM-11,TVM-13,renumbered,1.0,exact-text,yes
changed,TVM-11.2,TVM-13.2,TVM-11,TVM-13,renumbered,1.0,exact-text,no
unchanged,UEM-01.1,UEM-01.1,UEM-01,UEM-01,unchanged,1.0,exact-text,no
unchanged,UEM-01.2,UEM-01.2,UEM-01,UEM-01,unchanged,1.0,exact-text,no
unchanged,UEM-02.1,UEM-02.1,UEM-02,UEM-02,unchanged,1.0,exact-text,no
unchanged,UEM-03.1,UEM-03.1,UEM-03,UEM-03,unchanged,1.0,exact-text,no
changed,UEM-04.1,UEM-04.1,UEM-04,UEM-04,reworded,0.86,text(0.86),no
unchanged,UEM-05.1,UEM-05.1,UEM-05,UEM-05,unchanged,1.0,exact-text,no
unchanged,UEM-06.1,UEM-06.1,UEM-06,UEM-06,unchanged,1.0,exact-text,no
unchanged,UEM-07.1,UEM-07.1,UEM-07,UEM-07,unchanged,1.0,exact-text,no
unchanged,UEM-08.1,UEM-08.1,UEM-08,UEM-08,unchanged,1.0,exact-text,no
unchanged,UEM-09.1,UEM-09.1,UEM-09,UEM-09,unchanged,1.0,exact-text,no
unchanged,UEM-10.1,UEM-10.1,UEM-10,UEM-10,unchanged,1.0,exact-text,no
unchanged,UEM-11.1,UEM-11.1,UEM-11,UEM-11,unchanged,1.0,exact-text,no
unchanged,UEM-12.1,UEM-12.1,UEM-12,UEM-12,unchanged,1.0,exact-text,no
unchanged,UEM-13.1,UEM-13.1,UEM-13,UEM-13,unchanged,1.0,exact-text,no
unchanged,UEM-14.1,UEM-14.1,UEM-14,UEM-14,unchanged,1.0,exact-text,no
removed,IAM-12.1,,IAM-12,,removed,,,yes
removed,SEF-09.1,,SEF-09,,removed,,,yes
