term,definition,source_anchor,notes
Software Agent,"A computer process, managed by a computer operating system, which performs one or more tasks on behalf of a human user.",https://cyberlaw.ccdcoe.org/wiki/Glossary#Software_Agent,
Spear-phishing,A phishing operation that targets particular individuals and involves a higher level of sophistication and tailored content.,https://cyberlaw.ccdcoe.org/wiki/Glossary#Spear_phishing,
Spoofing,Impersonating a legitimate resource or user to gain unauthorised entry into an information system or to make it appear that some other organisation or individual has initiated or undertaken certain cyber activity.,https://cyberlaw.ccdcoe.org/wiki/Glossary#Spoofing,
Steganography,The technique of hiding content within other content.,https://cyberlaw.ccdcoe.org/wiki/Glossary#Steganography,
Stuxnet,A computer worm that was designed to target Supervisory Control and Data Acquisition (SCADA) systems developed by Siemens Corporation.,https://cyberlaw.ccdcoe.org/wiki/Glossary#Stuxnet,
Supervisory Control and Data Acquisition (SCADA),"Computer systems and instrumentation that provide for monitoring and controlling industrial, infrastructure, and facility-based processes.",https://cyberlaw.ccdcoe.org/wiki/Glossary#Supervisory_Control_and_Data_Acquisition_SCADA,
Troll Farm,See farm.,https://cyberlaw.ccdcoe.org/wiki/Glossary#Troll_Farm,
Virus,A type of malware with self-replicating capability that attaches itself to an application program or other executable system component.,https://cyberlaw.ccdcoe.org/wiki/Glossary#Virus,
Very Small Aperture Terminal (VSAT),A portable satellite ground station used for two-way communications.,https://cyberlaw.ccdcoe.org/wiki/Glossary#Very_Small_Aperture_Terminal_VSAT,
Website,A set of related web pages containing information.,https://cyberlaw.ccdcoe.org/wiki/Glossary#Website,
Whaling,"Also known as whale phishing, is a type of spear-phishing attack that specifically targets an organisation's senior management, executives, and other high profile individuals.",https://cyberlaw.ccdcoe.org/wiki/Glossary#Whaling,
Wi-Fi,A type of high-speed wireless networking.,https://cyberlaw.ccdcoe.org/wiki/Glossary#Wi_Fi,
Worm,A type of malware that is able to self-replicate and autonomously spread across computer networks.,https://cyberlaw.ccdcoe.org/wiki/Glossary#Worm,
XML Tag,A markup construct that is part of the open standard known as the Extensible Markup Language (XML).,https://cyberlaw.ccdcoe.org/wiki/Glossary#XML_Tag,
