"identifier","family","family_long_name","base_control","enhancement","is_enhancement","sort_as","control_name","assessment_objective","examine","interview","test"
"PE-13(01)_ODP[02]","PE","","PE-13","1","True","PE-13-01-02","","emergency responders to be notified in the event of a fire are defined;","","",""
"PE-13(01)[01]","PE","","PE-13","1","True","PE-13-01-03","","fire detection systems that activate automatically are employed in the event of a fire;","","",""
"PE-13(01)[02]","PE","","PE-13","1","True","PE-13-01-04","","fire detection systems that notify <PE-13(01)_ODP[01] personnel or roles> automatically are employed in the event of a fire;","","",""
"PE-13(01)[03]","PE","","PE-13","1","True","PE-13-01-05","","fire detection systems that notify <PE-13(01)_ODP[02] emergency responders> automatically are employed in the event of a fire.","","",""
"PE-13(02)","PE","","PE-13","2","True","PE-13-02-00","Fire Protection | Suppression Systems ó Automatic Activation and Notification","Determine if:","[SELECT FROM: Physical and environmental protection policy; procedures addressing fire protection; fire suppression and detection devices/systems documentation; facility housing the system; alarm service-level agreements; test records of fire suppression and detection devices/systems; system security plan; other relevant documents or records].","[SELECT FROM: Organizational personnel with responsibilities for fire detection and suppression devices/systems; organizational personnel with responsibilities for providing automatic notifications of any activation of fire suppression devices/systems to appropriate personnel, roles, and emergency responders; organizational personnel with information security responsibilities].","[SELECT FROM: Automated mechanisms supporting and/or implementing fire suppression devices/systems; activation of fire suppression devices/systems (simulated); automated notifications]."
"PE-13(02)_ODP[01]","PE","","PE-13","2","True","PE-13-02-01","","personnel or roles to be notified in the event of a fire is/are defined;","","",""
"PE-13(02)_ODP[02]","PE","","PE-13","2","True","PE-13-02-02","","emergency responders to be notified in the event of a fire are defined;","","",""
"PE-13(02)(a)[01]","PE","","PE-13","2","True","PE-13-02-03","","fire suppression systems that activate automatically are employed;","","",""
"PE-13(02)(a)[02]","PE","","PE-13","2","True","PE-13-02-04","","fire suppression systems that notify <PE-13(02)_ODP[01] personnel or roles> automatically are employed;","","",""
"PE-13(02)(a)[03]","PE","","PE-13","2","True","PE-13-02-05","","fire suppression systems that notify <PE-13(02)_ODP[02] emergency responders> automatically are employed;","","",""
"PE-13(02)(b)","PE","","PE-13","2","True","PE-13-02-06","","an automatic fire suppression capability is employed when the facility is not staffed on a continuous basis.","","",""
"PE-13(03)","PE","","PE-13","3","True","PE-13-03-00","Fire Protection | Automatic Fire Suppression","[WITHDRAWN: Incorporated into PE-13(02).]","","",""
"PE-13(04)","PE","","PE-13","4","True","PE-13-04-00","Fire Protection | Inspections","Determine if:","[SELECT FROM: Physical and environmental protection policy; procedures addressing fire protection; facility housing the system; inspection plans; inspection results; inspect reports; test records of fire suppression and detection devices/systems; system security plan; other relevant documents or records].","[SELECT FROM: Organizational personnel with responsibilities for planning, approving, and executing fire inspections; organizational personnel with information security responsibilities].",""
"PE-13(04)_ODP[01]","PE","","PE-13","4","True","PE-13-04-01","","the frequency for conducting fire protection inspections on the facility is defined;","","",""
"PE-13(04)_ODP[02]","PE","","PE-13","4","True","PE-13-04-02","","a time period for resolving deficiencies identified by fire protection inspections is defined;","","",""
"PE-13(04)[01]","PE","","PE-13","4","True","PE-13-04-03","","the facility undergoes fire protection inspections <PE-13(04)_ODP[01] frequency> by authorized and qualified inspectors;","","",""
"PE-13(04)[02]","PE","","PE-13","4","True","PE-13-04-04","","the identified deficiencies from fire protection inspections are resolved within <PE-13(04)_ODP[02] time period>.","","",""
"PE-14","PE","PHYSICAL AND ENVIRONMENTAL PROTECTION","PE-14","","False","PE-14-00-00","Environmental Controls","Determine if:","[SELECT FROM: Physical and environmental protection policy; procedures addressing temperature and humidity control; temperature and humidity controls; facility housing the system; temperature and humidity controls documentation; temperature and humidity records; system security plan; other relevant documents or records].","[SELECT FROM: Organizational personnel with responsibilities for system environmental controls; organizational personnel with information security responsibilities].","[SELECT FROM: Mechanisms supporting and/or implementing the maintenance and monitoring of temperature and humidity levels]."
"PE-14_ODP[01]","PE","","PE-14","","False","PE-14-00-01","","one or more of the following PARAMETER VALUES is/are selected: {temperature; humidity; pressure; radiation; <PE-14_ODP[02] environmental control>};","","",""
"PE-14_ODP[02]","PE","","PE-14","","False","PE-14-00-02","","environmental control(s) for which to maintain a specified level in the facility where the system resides are defined (if selected);","","",""
"PE-14_ODP[03]","PE","","PE-14","","False","PE-14-00-03","","acceptable levels for environmental controls are defined;","","",""
"PE-14_ODP[04]","PE","","PE-14","","False","PE-14-00-04","","frequency at which to monitor environmental control levels is defined;","","",""
"PE-14a.","PE","","PE-14","","False","PE-14-00-05","","<PE-14_ODP[01] SELECTED PARAMETER VALUES> levels are maintained at <PE-14_ODP[03] acceptable levels> within the facility where the system resides;","","",""
"PE-14b.","PE","","PE-14","","False","PE-14-00-06","","environmental control levels are monitored <PE-14_ODP[04] frequency>.","","",""
"PE-14(01)","PE","","PE-14","1","True","PE-14-01-00","Environmental Controls | Automatic Controls","Determine if:","[SELECT FROM: Physical and environmental protection policy; procedures addressing temperature and humidity controls; facility housing the system; automated mechanisms for temperature and humidity; temperature and humidity controls; temperature and humidity documentation; system security plan; other relevant documents or records].","[SELECT FROM: Organizational personnel with responsibilities for system environmental controls; organizational personnel with information security responsibilities].","[SELECT FROM: Automated mechanisms supporting and/or implementing temperature and humidity levels]."
