term,definition,source_anchor,notes
data at rest,"Data in a persistent state such as when stored on hard disks, removable media or backups.",https://www.ncsc.gov.uk/section/advice-guidance/glossary,see also: removable media
data centre,A managed facility that houses data storage and computer systems.,https://www.ncsc.gov.uk/section/advice-guidance/glossary,
data in transit,"Data as it is transferred from one location to another, either through a private network or the internet.",https://www.ncsc.gov.uk/section/advice-guidance/glossary,see also: data at rest
ddos,"Distributed Denial of Service. A type of cyber attack where a computer service is overloaded by requests from multiple computers or locations, so that real users can no longer access the service.",https://www.ncsc.gov.uk/section/advice-guidance/glossary,also known as: distributed denial of service; botnet; dos | see also: distributed denial of service; botnet; dos
decryption,Making information that has been encrypted readable again.,https://www.ncsc.gov.uk/section/advice-guidance/glossary,see also: cryptography
deny list,A security control that organisations can put in place which blocks their users from connecting to or accessing named entities (such as IP addresses or domains) that may be suspicious.,https://www.ncsc.gov.uk/section/advice-guidance/glossary,also known as: blacklist whitelisting and blacklisting is still used across the industry; but the ncsc do not use these terms. read more about the decision in the blog post - &#039;terminology: it&#039;s not all black and white&#039;; allow list | see also: blacklist whitelisting and blacklisting is still used across the industry; but the ncsc do not use these terms. read more about the decision in the blog post - &#039;terminology: it&#039;s not all black and white&#039;; allow list
devices,"Computer-based hardware that physically exists, such as a desktop computer, smartphone or tablet.",https://www.ncsc.gov.uk/section/advice-guidance/glossary,
dictionary attack,"A type of brute-force attack where words in a dictionary, phrases or common passwords are used to guess credentials.",https://www.ncsc.gov.uk/section/advice-guidance/glossary,see also: brute force attack
digital footprint,The traces of digital information or 'footprint' that a person's online activity leaves behind.,https://www.ncsc.gov.uk/section/advice-guidance/glossary,
digital services,"The provision of services (such as banking or online shopping) via the internet, or an electronic network.",https://www.ncsc.gov.uk/section/advice-guidance/glossary,
digital signature,"A technique used to validate the authenticity and integrity of a message, software or digital document.",https://www.ncsc.gov.uk/section/advice-guidance/glossary,
dkim,"DomainKeys Identified Mail. An email authentication method that adds a digital signature to every outgoing message, to verify the origin of the message.",https://www.ncsc.gov.uk/section/advice-guidance/glossary,see also: mail check
