"term","definition","source_anchor","notes"
"Cryptography","the discipline which embodies principles, means and methods for the transformation of data in order to hide its information content, prevent its undetected modification, or prevent its unauthorized use.","https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/information-security/information-security-awareness/information-security-glossary",""
"Custody","(of a record) means having physical possession of a record, even though the public body does not necessarily have responsibility for the record. Physical possession normally includes responsibility for access, managing, maintaining, preserving, disposing and providing security.","https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/information-security/information-security-awareness/information-security-glossary",""
"Cyberattack","a technical attack against the Confidentiality, Integrity or Availability of systems, networks or telecommunications, usually for illegal purposes such as theft, espionage or destructive motives.","https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/information-security/information-security-awareness/information-security-glossary",""
"Cybercrime","criminal activity taking place through exploitation of electronic mechanisms - a lucrative world‐wide illegal business, operating in “the Underground Economy”, it is no longer solely a hobby for individual hackers seeking new computer challenges. The threats posed by cyber criminals apply to work and home computers, and increasingly to mobile devices.","https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/information-security/information-security-awareness/information-security-glossary",""
"Cybersecurity","information security, with a particular focus on interconnection and integration with untrusted internetworked systems.","https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/information-security/information-security-awareness/information-security-glossary",""
"Cyberwarfare","a general term describing ongoing offensive and defensive activity in the electronic realm of the Internet.","https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/information-security/information-security-awareness/information-security-glossary",""
"Data","an individual fact (datum) or multiple facts (data), or a value, or a set of values, not significant to a business in and of itself. Data is the raw material stored in a structured manner that, given context, turns into information.","https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/information-security/information-security-awareness/information-security-glossary",""
"Data-Driven Attack","this form of attack takes place when malicious data is embedded in what appears to be a normal stream of data. When executed or otherwise processed, the malicious data causes unforeseen and often damaging events. An example might be maliciously-crafted PDF documents exploiting flaws in the Acrobat Reader causing arbitrary code to be executed on the user's machine.","https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/information-security/information-security-awareness/information-security-glossary",""
"Data Loss","the unauthorized use and or transmission of confidential information, it typically refers to information leaving the control of the owning organization, for example on portable devices or via email.","https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/information-security/information-security-awareness/information-security-glossary",""
"Data Loss Prevention (DLP)","processes or automated systems designed to stop data loss.","https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/information-security/information-security-awareness/information-security-glossary",""
"Defense In-Depth","is the approach of using multiple layers of security to guard against failure of a single security component.","https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/information-security/information-security-awareness/information-security-glossary",""
"(verb)","removing or altering personal identifiable information from a record or dataset to protect an individual's identity.","https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/information-security/information-security-awareness/information-security-glossary",""
"Denial of Service (DOS)","the prevention of authorized access to a system resource or the delaying of system operations and functions. An overwhelming number of requests for services is sent to the target computer or device - so many requests for service are sent that the device is unable to respond in a timely manner, thus the function the server is supposed to perform is nullified. Physical harm to systems and people can result from the denial of a needed service.","https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/information-security/information-security-awareness/information-security-glossary",""
"Diagnostic ports","ports, services and systems used for diagnostic, maintenance and monitoring activities for managing information system performance, function or capacity. Examples include physical network switch diagnostic ports, logical management services such as Simple Network Management Protocol (SNMP) and modems for remote maintenance.","https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/information-security/information-security-awareness/information-security-glossary",""
