"task_id","activity_id","activity_title","process_prefix","description"
"CM-3.3","CM-3","PERFORM CONFIGURATION CHANGE MANAGEMENT","CM","Submit requests for security review and approval."
"CM-3.4","CM-3","PERFORM CONFIGURATION CHANGE MANAGEMENT","CM","Track and manage the security aspects of approved changes to the baseline, requests for change, and requests for variance."
"CM-4.1","CM-4","PERFORM CONFIGURATION STATUS ACCOUNTING","CM","Develop and maintain security-relevant configuration management status information for system elements, baselines, approved changes, and releases."
"CM-4.2","CM-4","PERFORM CONFIGURATION STATUS ACCOUNTING","CM","Capture, store, and report security-relevant configuration management data."
"CM-5.1","CM-5","PERFORM CONFIGURATION EVALUATION","CM","Identify the need for secure configuration and configuration management verification activities and audits."
"CM-5.2","CM-5","PERFORM CONFIGURATION EVALUATION","CM","Verify that the product or service configuration meets the security-relevant configuration requirements."
"CM-5.3","CM-5","PERFORM CONFIGURATION EVALUATION","CM","Monitor the secure incorporation of approved configuration changes."
"CM-5.4","CM-5","PERFORM CONFIGURATION EVALUATION","CM","Perform configuration and configuration management security verification activities and audits to establish the security aspects of product baselines."
"CM-5.5","CM-5","PERFORM CONFIGURATION EVALUATION","CM","Record the security aspects of the configuration management audit and other configuration evaluation results and disposition action items."
"DE-1.1","DE-1","PREPARE FOR DESIGN DEFINITION","DE","Establish the trustworthy secure aspects of the design definition strategy."
"DE-1.2","DE-1","PREPARE FOR DESIGN DEFINITION","DE","Determine the security technologies required for each system element composing the system."
"DE-1.3","DE-1","PREPARE FOR DESIGN DEFINITION","DE","Identify the security concerns associated with each technology required for each system element."
"DE-1.4","DE-1","PREPARE FOR DESIGN DEFINITION","DE","Determine the necessary security and trustworthiness categories of system characteristics represented in the design."
"DE-1.5","DE-1","PREPARE FOR DESIGN DEFINITION","DE","Define the precepts for trustworthy secure evolution of the system design."
"DE-1.6","DE-1","PREPARE FOR DESIGN DEFINITION","DE","Identify the security aspects for enabling systems or services needed to support design definition."
"DE-1.7","DE-1","PREPARE FOR DESIGN DEFINITION","DE","Identify and plan for enabling systems or services needed to support the security aspects of design definition."
"DE-1.8","DE-1","PREPARE FOR DESIGN DEFINITION","DE","Obtain or acquire access to the security aspects of enabling systems or services to be used in design definition."
"DE-2.1","DE-2","CREATE THE SYSTEM DESIGN","DE","Allocate security requirements to system elements."
"DE-2.2","DE-2","CREATE THE SYSTEM DESIGN","DE","Transform security-relevant architectural entities and relationships into design elements."
"DE-2.3","DE-2","CREATE THE SYSTEM DESIGN","DE","Transform security-relevant architectural characteristics into trustworthy secure design characteristics."
"DE-2.4","DE-2","CREATE THE SYSTEM DESIGN","DE","Define the necessary trustworthy secure design enablers."
"DE-2.5","DE-2","CREATE THE SYSTEM DESIGN","DE","Examine trustworthy secure design alternatives."
