"task_id","activity_id","activity_title","process_prefix","description"
"TR-1.5","TR-1","PREPARE FOR TRANSITION","TR","Identify the security aspects for enabling systems or services needed to support transition."
"TR-1.6","TR-1","PREPARE FOR TRANSITION","TR","Identify and plan for enabling systems or services needed to support the security aspects of transition."
"TR-1.7","TR-1","PREPARE FOR TRANSITION","TR","Obtain or acquire access to the security aspects of enabling systems or services to be used in transition."
"TR-1.8","TR-1","PREPARE FOR TRANSITION","TR","Identify security aspects, and arrange for the secure shipping and receiving of system elements and enabling systems."
"TR-2.1","TR-2","PERFORM TRANSITION","TR","Prepare the site of operation in accordance with secure installation requirements."
"TR-2.2","TR-2","PERFORM TRANSITION","TR","Securely deliver the system for installation at the correct location and time."
"TR-2.3","TR-2","PERFORM TRANSITION","TR","Install the system in its operational environment in accordance with the secure installation strategy, and establish secure interconnections to its environment."
"TR-2.4","TR-2","PERFORM TRANSITION","TR","Demonstrate trustworthy secure system installation."
"TR-2.5","TR-2","PERFORM TRANSITION","TR","Provide security training for the operators, users, and other stakeholders necessary for system utilization and support."
"TR-2.6","TR-2","PERFORM TRANSITION","TR","Perform security activation and checkout of the system."
"TR-2.7","TR-2","PERFORM TRANSITION","TR","Demonstrate that the installed system can deliver its required functions in a trustworthy secure manner."
"TR-2.8","TR-2","PERFORM TRANSITION","TR","Demonstrate that the security functions provided by the system and the effects of the security functions are sustainable by enabling systems."
"TR-2.9","TR-2","PERFORM TRANSITION","TR","Review the security trustworthiness of the system for operational readiness."
"TR-2.10","TR-2","PERFORM TRANSITION","TR","Commission the system for secure operation."
"TR-3.1","TR-3","MANAGE RESULTS OF TRANSITION","TR","Record the security aspects of transition results and any anomalies encountered."
"TR-3.2","TR-3","MANAGE RESULTS OF TRANSITION","TR","Record the security aspects of operational incidents and problems, and track their resolution."
"TR-3.3","TR-3","MANAGE RESULTS OF TRANSITION","TR","Maintain traceability of the security aspects of transitioned system elements."
"TR-3.4","TR-3","MANAGE RESULTS OF TRANSITION","TR","Provide the security-relevant artifacts that have been selected for baselines."
"VA-1.1","VA-1","PREPARE FOR VALIDATION","VA","Identify the security aspects within the validation scope and corresponding security validation actions."
"VA-1.2","VA-1","PREPARE FOR VALIDATION","VA","Identify the constraints that can potentially limit the feasibility of the security validation actions."
"VA-1.3","VA-1","PREPARE FOR VALIDATION","VA","Select appropriate security validation methods and the associated success criteria for each security validation action."
"VA-1.4","VA-1","PREPARE FOR VALIDATION","VA","Develop the security aspects of the validation strategy."
"VA-1.5","VA-1","PREPARE FOR VALIDATION","VA","Identify the security-relevant system constraints that result from the security aspects of the validation strategy to be incorporated in the stakeholder protection needs and the requirements transformed from those needs."
"VA-1.6","VA-1","PREPARE FOR VALIDATION","VA","Identify the security aspects for enabling systems or services needed to support validation."
"VA-1.7","VA-1","PREPARE FOR VALIDATION","VA","Identify and plan for enabling systems or services to support the security aspects of validation."
"VA-1.8","VA-1","PREPARE FOR VALIDATION","VA","Obtain or acquire access to the security aspects of enabling systems or services to be used to support validation."
"VA-2.1","VA-2","PERFORM VALIDATION","VA","Define the security aspects of the validation procedures, each supporting one or a set of validation actions."
"VA-2.2","VA-2","PERFORM VALIDATION","VA","Perform security validation procedures."
"VA-3.1","VA-3","MANAGE RESULTS OF VALIDATION","VA","Record the security aspects of validation results and any anomalies encountered."
"VA-3.2","VA-3","MANAGE RESULTS OF VALIDATION","VA","Record the security characteristics of operational incidents and problems, and track their resolution."
"VA-3.3","VA-3","MANAGE RESULTS OF VALIDATION","VA","Obtain agreement that the security validation criteria have been met."
"VA-3.4","VA-3","MANAGE RESULTS OF VALIDATION","VA","Maintain traceability of the security aspects of validation."
"VA-3.5","VA-3","MANAGE RESULTS OF VALIDATION","VA","Provide the security-relevant artifacts that have been selected for baselines."
"VE-1.1","VE-1","PREPARE FOR VERIFICATION","VE","Identify the security aspects within the verification scope and corresponding security verification actions."
"VE-1.2","VE-1","PREPARE FOR VERIFICATION","VE","Identify the constraints that can potentially limit the feasibility of the security-focused verification actions."
"VE-1.3","VE-1","PREPARE FOR VERIFICATION","VE","Select appropriate security verification methods and the associated success criteria for each security verification action."
"VE-1.4","VE-1","PREPARE FOR VERIFICATION","VE","Define the security aspects of the verification strategy."
"VE-1.5","VE-1","PREPARE FOR VERIFICATION","VE","Identify the security-relevant constraints and objectives that result from the security aspects of the verification strategy to be incorporated into the system requirements, architecture, and design."
"VE-1.6","VE-1","PREPARE FOR VERIFICATION","VE","Identify the security aspects for enabling systems or services needed to support verification."
"VE-1.7","VE-1","PREPARE FOR VERIFICATION","VE","Identify and plan for enabling systems or services needed to support the security aspects of verification."
"VE-1.8","VE-1","PREPARE FOR VERIFICATION","VE","Obtain or acquire access to the security aspects of enabling systems or services to be used in verification."
"VE-2.1","VE-2","PERFORM VERIFICATION","VE","Define the security aspects of the verification procedures, each supporting one or a set of verification actions."
"VE-2.2","VE-2","PERFORM VERIFICATION","VE","Perform security verification procedures."
"VE-3.1","VE-3","MANAGE RESULTS OF VERIFICATION","VE","Record the security aspects of verification results and any anomalies encountered."
"VE-3.2","VE-3","MANAGE RESULTS OF VERIFICATION","VE","Obtain agreement from the approval authority that the system, system element, or artifact meets the specified system security requirements."
"VE-3.3","VE-3","MANAGE RESULTS OF VERIFICATION","VE","Maintain traceability of the security aspects of verification."
"VE-3.4","VE-3","MANAGE RESULTS OF VERIFICATION","VE","Provide the security-relevant artifacts that have been selected for baselines."
